Date,Hour,Cup_Count
2026-02-06,12,16
2026-02-06,13,28
2026-02-06,14,42
2026-02-06,15,19
2026-02-06,16,59
2026-02-06,17,29
2026-02-06,18,36
2026-02-06,19,25
2026-02-06,20,16
2026-02-06,21,14
2026-02-06,22,9
2026-02-06,23,5
2026-02-07,0,2
2026-02-07,1,2
2026-02-07,12,5
2026-02-07,13,8
2026-02-07,14,20
2026-02-07,15,16
2026-02-07,16,17
2026-02-07,17,25
2026-02-07,18,14
2026-02-07,19,19
2026-02-07,20,14
2026-02-07,21,10
2026-02-07,22,4
2026-02-08,0,2
2026-02-08,12,3
2026-02-08,13,2
2026-02-08,14,16
2026-02-08,15,11
2026-02-08,16,19
2026-02-08,17,13
2026-02-08,18,26
2026-02-08,19,17
2026-02-08,20,20
2026-02-08,21,10
2026-02-08,22,2
2026-02-08,23,4
2026-02-09,0,3
2026-02-09,1,3
2026-02-09,12,14
2026-02-09,13,19
2026-02-09,14,11
2026-02-09,15,16
2026-02-09,16,19
2026-02-09,17,22
2026-02-09,18,21
2026-02-09,19,19
2026-02-09,20,27
2026-02-09,21,12
2026-02-09,22,16
2026-02-09,23,6
2026-02-10,0,1
2026-02-10,1,6
2026-02-10,12,17
2026-02-10,13,33
2026-02-10,14,29
2026-02-10,15,16
2026-02-10,16,31
2026-02-10,17,32
2026-02-10,18,23
2026-02-10,19,31
2026-02-10,20,38
2026-02-10,21,17
2026-02-10,22,16
2026-02-10,23,6
2026-02-11,0,5
2026-02-11,1,3
2026-02-11,12,12
2026-02-11,13,34
2026-02-11,14,34
2026-02-11,15,23
2026-02-11,16,23
2026-02-11,17,21
2026-02-11,18,27
2026-02-11,19,19
