VolumeId,SizeGB,InstanceId,CurrentType,CurrentMonthly,TargetType,TargetMonthly,Savings
vol-04b0fe70d22ebdf2d,32,i-0bf12654cf21b944e,gp2,3.20,gp3,2.56,0.64
vol-0b9e4abd412911107,50,i-00682a6798536adab,gp2,5.00,gp3,4.00,1.00
vol-0644a44777cfe4fb4,50,i-050f4f4a41c40fb11,gp2,5.00,gp3,4.00,1.00
vol-0f0b4ce8443a3540d,50,i-0f6bb5f9b8560e8e8,gp2,5.00,gp3,4.00,1.00
vol-08296f19729b1be61,32,i-054654cddc0131ead,gp2,3.20,gp3,2.56,0.64
vol-093c46a1df50a5a61,160,i-01e0ee9e752caac31,gp2,16.00,gp3,12.80,3.20
vol-0a03b35ea6d709c3b,32,i-050f4f4a41c40fb11,gp2,3.20,gp3,2.56,0.64
vol-085e309219a7f86c3,32,i-00682a6798536adab,gp2,3.20,gp3,2.56,0.64
vol-0bc7bf422bca03715,40,i-0047137d18fc77c35,gp2,4.00,gp3,3.20,0.80
vol-01cdd134e5f3bc0bf,32,i-0f6bb5f9b8560e8e8,gp2,3.20,gp3,2.56,0.64
vol-0b260718c9daaa152,32,i-0bf12654cf21b944e,gp2,3.20,gp3,2.56,0.64
vol-0a5f3eca1306a0661,32,i-054654cddc0131ead,gp2,3.20,gp3,2.56,0.64
vol-0fbfef300fdf7b683,50,i-054654cddc0131ead,gp2,5.00,gp3,4.00,1.00
vol-0cca9831c0fdfaf75,32,i-050f4f4a41c40fb11,gp2,3.20,gp3,2.56,0.64
vol-0bc45234b66c6e647,32,i-00682a6798536adab,gp2,3.20,gp3,2.56,0.64
vol-0dd0027fe26184793,40,i-0bb716251f58c35dd,gp2,4.00,gp3,3.20,0.80
vol-0ca62bbd93ef27ba9,50,i-0bf12654cf21b944e,gp2,5.00,gp3,4.00,1.00
vol-0cab2077a42dbdfdc,32,i-0f6bb5f9b8560e8e8,gp2,3.20,gp3,2.56,0.64
vol-07519e58ecfced1b8,100,i-0c155ec1f7ef90b85,gp2,10.00,gp3,8.00,2.00
