InstanceId,InstanceType,Name,AvgCPU,MaxCPU,MonthlyCost_EDP,ChinaClass,AWSClass,Action,PotentialSavings
i-0e96768c9f352766c,m6i.8xlarge,unnamed,1.69,7.63,773.68,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,657.63
i-05cea5a6a4ae2801d,m6i.8xlarge,unnamed,1.7,8.31,773.68,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,657.63
i-0b94e2139334f6c97,m6i.8xlarge,unnamed,1.76,8.0,773.68,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,657.63
i-00a8aa0a09849ca17,m6i.8xlarge,unnamed,1.87,15.07,773.68,IDLE,SEVERE_UNDERUTIL,DOWNSIZE_1_SIZE,386.84
i-0e72d539f775da4bb,m6i.8xlarge,unnamed,1.83,12.07,773.68,IDLE,SEVERE_UNDERUTIL,DOWNSIZE_1_SIZE,386.84
i-02ca602ec667ca5c1,m6i.8xlarge,unnamed,1.94,10.38,773.68,IDLE,SEVERE_UNDERUTIL,DOWNSIZE_1_SIZE,386.84
i-0b992e7a6fa1b66b4,m6i.8xlarge,unnamed,1.61,10.17,773.68,IDLE,SEVERE_UNDERUTIL,DOWNSIZE_1_SIZE,386.84
i-09a76a8b0f16c4c39,m6i.4xlarge,unnamed,1.43,9.17,386.84,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,328.82
i-087d9aa6a44983b43,m6i.4xlarge,unnamed,1.7,8.17,386.84,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,328.82
i-0f8d8fa6277335edf,c6i.4xlarge,ifeilianvpn01-prod-usa-aws,0.31,1.52,342.52,IDLE,SEVERE_UNDERUTIL,TERMINATE_OR_DOWNSIZE_2_SIZES,291.14
