InstanceId,InstanceType,Name,LaunchTime,AvailabilityZone,Platform,PrivateIpAddress,ASGManaged,vCPU,MemoryGB,Family
i-02e16d310a8bd8a3d,c6i.large,dnsserver02-prod-usb-aws,2025-02-14T07:15:58+00:00,us-east-1b,Linux,10.238.8.6,No,2,4,compute
i-0be9616720a6290ea,c6i.large,luckyuam01-prod-usb-aws,2025-07-24T14:42:03+00:00,us-east-1b,Linux,10.238.8.157,No,2,4,compute
i-021550e177c7adf2e,c6i.large,iluckyauthgrafana01-prod-usb-aws,2025-02-26T09:03:15+00:00,us-east-1b,Linux,10.238.8.155,No,2,4,compute
i-01035a615a5fc5f4d,c6i.xlarge,luckyad02-prod-usb-aws,2025-02-10T08:12:33+00:00,us-east-1b,windows,10.238.8.29,No,4,8,compute
i-0d9b1e751b082509e,m6a.xlarge,unnamed,2025-03-18T03:36:14+00:00,us-east-1b,Linux,10.238.66.242,No,4,16,general
i-0b7168740da06034a,m6a.large,unnamed,2025-03-18T03:33:36+00:00,us-east-1b,Linux,10.238.67.68,No,2,8,general
i-031550c05c4eae3e9,m6a.large,unnamed,2025-03-18T03:33:36+00:00,us-east-1b,Linux,10.238.67.240,No,2,8,general
i-0f5b8098e2098d6ec,r6i.2xlarge,unnamed,2025-03-20T08:24:30+00:00,us-east-1b,Linux,10.238.66.111,No,8,64,memory
i-0d812309d4071771c,r6i.2xlarge,unnamed,2025-03-20T08:15:50+00:00,us-east-1b,Linux,10.238.66.140,No,8,64,memory
i-0f566478f38407460,c6i.xlarge,luckyjump01-prod-usa-aws,2025-02-10T08:43:48+00:00,us-east-1a,windows,10.238.3.141,No,4,8,compute
i-09e38bdb8f14e38de,c6i.large,luckydevops-01-prod-usa-aws,2025-02-11T07:29:37+00:00,us-east-1a,Linux,10.238.3.158,No,2,4,compute
i-0d126999b0254f408,c6i.large,lsopopenapi01-prod-usa-aws,2025-02-11T07:30:15+00:00,us-east-1a,Linux,10.238.3.35,No,2,4,compute
i-05385620b1f653246,c6i.xlarge,lsoptree01-prod-usa-aws,2025-02-11T06:18:36+00:00,us-east-1a,Linux,10.238.3.144,No,4,8,compute
i-02d3671f3ecce09ed,c6i.large,udaconductor01-prod-usa-aws,2025-02-11T07:29:58+00:00,us-east-1a,Linux,10.238.3.170,No,2,4,compute
i-0ee8448158391dc2c,c6i.large,luckylfeetcd03-prod-usa-aws,2025-02-11T13:27:23+00:00,us-east-1a,Linux,10.238.3.71,No,2,4,compute
i-02d581d2a34f57e88,c6i.large,lfetools01-prod-usa-aws,2025-02-11T13:43:25+00:00,us-east-1a,Linux,10.238.2.39,No,2,4,compute
i-0bb716251f58c35dd,m4.large,dnsweb01-prod-usa-aws,2025-02-13T03:36:36+00:00,us-east-1a,Linux,10.238.3.118,No,2,8,general
i-0e1f5f1fb0e7e9696,c6i.large,ucarudacheckspringboot01-prod-usa-aws,2025-02-14T10:20:51+00:00,us-east-1a,Linux,10.238.3.244,No,2,4,compute
i-041f47fb4438f2362,c6i.large,luckyjump02-prod-usa-aws,2025-02-17T06:43:42+00:00,us-east-1a,Linux,10.238.3.67,No,2,4,compute
