InstanceId,InstanceType,Name,AvgCPU,MaxCPU,ChinaClass,AWSClass,CurrentMonthlyCost,RecommendedAction,RecommendedType,ProjectedMonthlyCost,MonthlySavings,AnnualSavings,ConfidenceLevel,RiskLevel
i-0e96768c9f352766c,m6i.8xlarge,unnamed,1.69,7.63,IDLE,SEVERE_UNDERUTIL,773.68,TERMINATE_OR_DOWNSIZE_2_SIZES,m6i.2xlarge,116.05,657.63,7891.56,High,Medium-High
i-05cea5a6a4ae2801d,m6i.8xlarge,unnamed,1.7,8.31,IDLE,SEVERE_UNDERUTIL,773.68,TERMINATE_OR_DOWNSIZE_2_SIZES,m6i.2xlarge,116.05,657.63,7891.56,High,Medium-High
i-0b94e2139334f6c97,m6i.8xlarge,unnamed,1.76,8.0,IDLE,SEVERE_UNDERUTIL,773.68,TERMINATE_OR_DOWNSIZE_2_SIZES,m6i.2xlarge,116.05,657.63,7891.56,High,Medium-High
i-00a8aa0a09849ca17,m6i.8xlarge,unnamed,1.87,15.07,IDLE,SEVERE_UNDERUTIL,773.68,DOWNSIZE_1_SIZE,m6i.4xlarge,386.84,386.84,4642.08,Medium,Medium-High
i-0e72d539f775da4bb,m6i.8xlarge,unnamed,1.83,12.07,IDLE,SEVERE_UNDERUTIL,773.68,DOWNSIZE_1_SIZE,m6i.4xlarge,386.84,386.84,4642.08,Medium,Medium-High
i-02ca602ec667ca5c1,m6i.8xlarge,unnamed,1.94,10.38,IDLE,SEVERE_UNDERUTIL,773.68,DOWNSIZE_1_SIZE,m6i.4xlarge,386.84,386.84,4642.08,Medium,Medium-High
i-0b992e7a6fa1b66b4,m6i.8xlarge,unnamed,1.61,10.17,IDLE,SEVERE_UNDERUTIL,773.68,DOWNSIZE_1_SIZE,m6i.4xlarge,386.84,386.84,4642.08,Medium,Medium-High
i-09a76a8b0f16c4c39,m6i.4xlarge,unnamed,1.43,9.17,IDLE,SEVERE_UNDERUTIL,386.84,TERMINATE_OR_DOWNSIZE_2_SIZES,m6i.large,58.02,328.82,3945.84,High,Medium-High
i-087d9aa6a44983b43,m6i.4xlarge,unnamed,1.7,8.17,IDLE,SEVERE_UNDERUTIL,386.84,TERMINATE_OR_DOWNSIZE_2_SIZES,m6i.large,58.02,328.82,3945.84,High,Medium-High
i-0f8d8fa6277335edf,c6i.4xlarge,ifeilianvpn01-prod-usa-aws,0.31,1.52,IDLE,SEVERE_UNDERUTIL,342.52,TERMINATE_OR_DOWNSIZE_2_SIZES,c6i.large,51.38,291.14,3493.68,High,Low
i-04b4ad1b0469397da,r6i.4xlarge,iluckydpbi03-prod-usa-aws,1.88,12.16,IDLE,SEVERE_UNDERUTIL,507.73,DOWNSIZE_1_SIZE,r6i.2xlarge,253.87,253.86,3046.32,Medium,Low
i-0fc62b28f38f4275e,m6i.8xlarge,unnamed,2.01,10.93,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-0a7889d373836f786,m6i.8xlarge,unnamed,2.42,8.69,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-07f28f6e4d0193485,m6i.8xlarge,unnamed,2.12,10.5,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-0b9a758f7e72da236,m6i.8xlarge,unnamed,2.38,7.99,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-08c37e4b962909d8b,m6i.8xlarge,unnamed,2.44,11.34,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-0f09e3529105df1e9,m6i.8xlarge,unnamed,2.22,11.39,LOW_LOAD,SEVERE_UNDERUTIL,773.68,RIGHTSIZE,m6i.4xlarge,541.58,232.1,2785.2,Medium,Medium-High
i-04f5d14a1fafdea36,m6i.4xlarge,unnamed,1.01,13.91,IDLE,SEVERE_UNDERUTIL,386.84,DOWNSIZE_1_SIZE,m6i.2xlarge,193.42,193.42,2321.04,Medium,Medium-High
i-05ebee32958e4dc1c,m6i.4xlarge,unnamed,1.5,13.16,IDLE,SEVERE_UNDERUTIL,386.84,DOWNSIZE_1_SIZE,m6i.2xlarge,193.42,193.42,2321.04,Medium,Medium-High
i-0eb265d2fe5b513d1,m6i.4xlarge,unnamed,1.87,14.35,IDLE,SEVERE_UNDERUTIL,386.84,DOWNSIZE_1_SIZE,m6i.2xlarge,193.42,193.42,2321.04,Medium,Medium-High
